id,text,yes,no
277,經過這件事我真的有很深刻的體悟，就是如果他連他想要一起走到以後的人都保護不了，那我覺得放生是必須的！,1,0
263,亞洲人的親情綁架勒索根深蒂固，父母生下我們就應該非常感恩？？沒人逼你們生小孩好嗎，要生就好好養，該有的生活品質應該要有！,1,0
428,我記得以前還好啊,0,1
159,你晚餐喜歡吃什麼?,1,0
479,我就在忙,0,1
45,伴侶做了什麼事情會是你絕對無法容忍的？,1,0
30,在你所有家人當中，誰的死對你的打擊會最大？,1,0
184,你曾經非常怨恨你的家人，甚至想殺了他嗎？,1,0
359,另外如果真的很在意、很難接受，也不建議繼續在一起，不然之後再相處下去也會有疙瘩的！,1,0
126,你喜歡女生長髮還是短髮?,1,0
451,我遇到軍校渣男…,0,1
312,我現在面臨轉系，一開始也怕換環境什麼的，但其實我發現，這跟一開始上大學一樣，只有熱情一點主動一點，就會慢慢的認識大家了。,1,0
302,沒必要這麼擔心吧，展現真正的自己，交到的不管是朋友還是情人，都才會是你想要的。,1,0
323,會主動搭話的通常顏值滿高或想進一步認識，所以對自己有信心一點！,1,0
378,曾經我也想過要結束掉自己的生命,1,0
350,其實，你要知道的是，這男的有多不成熟，戀愛就是如此,1,0
405,因為他覺得我很笨，所以就叫我槌子,0,1
178,第一次的經驗？,1,0
322,只要是交往過都不行，除非只是學生時期的純愛，否則人不可能無時無刻都堅定自己的情緒和情感，天時地利之下，難保不會有意外，能做的就是遠離風險。,1,0
54,如果有一天可以選擇變成一種動物，會選擇什麼動物？為什麼？,1,0
335,另一半做了讓你不太能夠接受的事情，遇到這種事我不喜歡偏向於某一方的做法，簡單來說也就是你會介意男友跟異性單獨吃飯，男友會爽朗的拒絕對方，另一種就是你去接受，這種做法其實我不喜歡，我都是在其中找到一個平衡點，可以解決的方法也有千百種,1,0
441,建議可以幫貓咪保保險哦！,0,1
368,聽你這麼一說…感覺是真的要好好作心理建設了…其實當下聽到是手一直狂抖的…我無法想像每天起床都會抱著我親吻我額頭，生病喝醉不舒服都第一時間出現的男友…會出現這種狀況，我其實一直很慶幸我遇到他，因為他讓我真的很幸福…也因為這樣…發生這種事我反而接受不了…跟身邊的朋友們都說他有多麼好…結果現在好像被當笑話了…,1,0
281,其實我正也面臨這個問題，知道以前犯錯了，改善後也希望另一半給我機會，但正如妳說得好像回不到以前的甜蜜了。,1,0
305,那時候就太害羞沒自信啦，然後當時遇到的同輩異性都不怎麼友善,1,0
260,現實社會有很多「想法」，是需要用錢來堆砌出來的。,1,0
137,你和你最好的朋友認識多久了?,1,0
201,你支持廢除死名嗎?,1,0
449,加油~~~,0,1
31,你的房子起火了，你還有時間可以安全地搶救出最後一件東西。你會拿什麼？,1,0
251,現在當父母真慘，不給吃好穿好還要被小孩抱怨，養小孩是義務跟責任，那妳的義務跟責任是啥，只會跟父母要資源嗎,1,0
274,從來沒有人生完美無缺，只是我們都需要找到懂自己的人,1,0
276,誰都希望小孩子結個好婚，但哪有事事如意，我只認為要為自己的決定負責就好，戀愛是兩個人的事，結婚也是,1,0
